target_hash,rank_bin_upper,dc_datacenter,dc_domain,dc_provider,tag
cb106c4b951c861b4db68834d3368a656defcccf5b3ffd1b123de456367151a1,17000,NOT_DC,NOT_DC,NOT_DC,"['Business Services', 'Software/Technology']"
946c79036a0f22b4613e500a940ea726d1d3e0556e9efef6313faaa89c9fd80e,81000,NOT_DC,NOT_DC,NOT_DC,['Ecommerce/Shopping']
4f645de48559277da429f3c408116ee2eb9cfa284742b5d2340be7a6f13274f8,61000,Amazon AWS,NOT_DC,amazon aws,['Streaming Video']
0b6d2cd0f6a73a0a3c9a17a64baf996db1906beb9232d54c7ad6a0d622d4c14e,31000,Amazon AWS,NOT_DC,amazon aws,['Unknown()']
e7b024a2d3712f2f876824550921aca193018eff335758e7d26bbaf0adcca876,14000,cloudflare,NOT_DC,cloudflare,['Ecommerce/Shopping']
93ef473e1a1117b4aa5237050dd7869f5cb45ecb6aa53de394fc55a3382922ff,75000,Beget LLC,beget.com,beget,['Hunting']
b61aad8fb1419e4ff4b0838fe6518b7631216f67ca5349800926fd115568a6e5,4000,NOT_DC,NOT_DC,NOT_DC,"['Science and Technology', 'Non-Profits']"
4c0a150286da70726d96b22b0b05774073b84bd39c55e9b06574c03301d8012f,3000,NOT_DC,NOT_DC,NOT_DC,"['News/Media', 'Television', 'Software/Technology', 'Radio']"
81818d9776d513ef8f4233673a999c55449b98eae226985155b19a0e2fa233c4,4000,Asiatech Data Transmission company,asiatech.ir,ir asiatech,['Forums/Message boards']
0d1e3a4187597f9f1d8c2d6634de35bbf77d78e43b663bfdf113d1832c28126b,26000,cloudflare,NOT_DC,cloudflare,"['Streaming Video', 'Video Sharing']"
b68819c8bdf11cb58a3de0572e62ba0d29c77f514621e271a8f882499ad92ecd,10000,Amazon AWS,NOT_DC,amazon aws,['Entertainment']
e5e77e4017707a3832200748e65d757d3fd5e613423dea9aeb4b507c80fe95dd,81000,Aptum Technologies,aptum.com,aptum,['Software/Technology']
a0427ad8f6da0fb3745454ea49c45bdd83f88523037f6a2ab106bb2c98b59ed2,82000,SoftLayer Technologies Inc.,www.ibm.com,softlayer ibm,['Financial Institutions']
082e0b3f0f4ec0cda4fac9aea09b6cdaff36257eaab9124da751b979a7d8e32b,18000,cloudflare,NOT_DC,cloudflare,['News/Media']
1af54cf2d212cea89f4850e43244707c4ae0cf10477617cfd347c83f3e6a18ea,47000,NOT_DC,NOT_DC,NOT_DC,['News/Media']
624029d83975e613df061b2ac6ecd467d1b16ab46a1faa6544288d4686181b27,63000,NOT_DC,NOT_DC,NOT_DC,['Sports']
1263bf4450b47ce18ccfb6f38802e30a1a363c255ee8469ed91d6c3673041f26,71000,"WebNX, Inc.",webnx.com,webnx,['Research/Reference']
b93a8d9aba763b50dbb0e3e0deba6fb883d4f163bce230630f9d5652b2a731a7,70000,NOT_DC,NOT_DC,NOT_DC,['News/Media']
28217e8f40e9cd5bc9fe4f30fa09992f5d8c351d5f59abd1c8b0dbd3b7ffe7a3,40000,"Cloudflare, Inc.",www.cloudflare.com,cloudflare,['Science and Technology']
9b2d5b4678781e53038e91ea5324530a03f27dc1d0e5f6c9bc9d493a23be9de0,89000,,,,['Advertisements']
8fb8593a21b96844eb5865a5ca4fa483afd5a3f5d5e623d55bcd9f194dabb98d,88000,Eolas Hosted services - Datacenter MA,eolas.fr,ma eolas,['Educational Institutions']
c634ae5672169a9bb3d42267a213b7fc6a0133dabac7576d1ebbdb71813c9e17,87000,LeaseWeb Netherlands B.V.,www.leaseweb.com,netherlands leaseweb,['Travel']
6fafdb9a0e00289568aa1b2850b6d7fc4c6e96d964f02ac00e38d5a3fb54001a,78000,OVH SAS,proof.ovh.net,ovh proof,"['Pornography', 'Regional Restricted Sites (Germany)']"
e567342948054b5a24267bdf13cff0391d86ceb4f7c78259c610ae2036262c7d,86000,NOT_DC,NOT_DC,NOT_DC,['Unknown()']
d4355e5cfc4bcd5a415f9f2c6c63af74943624927f33884e61720d99c1798130,9000,"Internet Invest, Ltd.",mirohost.net,invest internet,['Business Services']
2712786f693f1646fb1e810ed9e2719cdb4c5c667da71d028c02cc5cbad3e0c2,45000,Performive LLC,performive.com,performive,['Weapons']
7df0939a784fbed54cfcb94ed0435516753f24a676c22ee4ad74c7882837f897,41000,iCloud Private Relay,NOT_DC,icloud private,['Educational Institutions']
6df41e22033fcf7cecaf19379a89514ea5ce30fdc6e4540abacde07bc29b916c,30000,NOT_DC,NOT_DC,NOT_DC,['Financial Institutions']
7595a442f40e4f9f138f44eb6b99368d92cfe496e4ec6288ba5a6f5c956c9504,35000,Rackspace Hosting,www.rackspace.com,rackspace,['Ecommerce/Shopping']
4b7a744eb926d9475390990f13ed28a9dbf891cbc848f0ba9734da19f08178b5,86000,Rackspace Hosting,www.rackspace.com,rackspace,['SaaS and B2B']
3db375084ff07a5e609caef12ec94e01f69d5be0a9e56e16848f81fb601eaf20,52000,DataWeb Global Group B.V.,datawebglobal.com,datawebglobal dataweb,['Entertainment']
